epoch,train_success,test_success
0,0.5518672199170125,0.6150793650793651
1,0.6473029045643154,0.6419753086419753
2,0.649402390438247,0.6386554621848739
3,0.7892561983471075,0.8
4,0.8075313807531381,0.8225806451612904
5,0.7768595041322314,0.7439024390243902
6,0.7907949790794979,0.7948717948717948
7,0.7759336099585062,0.8122448979591836
8,0.7682926829268293,0.7745901639344263
9,0.8089430894308943,0.8305084745762712
10,0.807843137254902,0.8057851239669421
11,0.812,0.7886178861788617
12,0.8174273858921162,0.8207171314741036
13,0.8024193548387096,0.7925311203319502
14,0.7581967213114754,0.7579365079365079
15,0.8099173553719008,0.7813765182186235
16,0.7103174603174603,0.7108433734939759
17,0.7791666666666667,0.8097165991902834
18,0.804,0.8518518518518519
19,0.7905138339920948,0.768595041322314
20,0.8313253012048193,0.8433734939759037
21,0.7786885245901639,0.7224489795918367
22,0.8112449799196787,0.7827868852459017
23,0.8075313807531381,0.8083333333333333
24,0.8143459915611815,0.8065843621399177
25,0.8065843621399177,0.8455284552845529
26,0.8366533864541833,0.8064516129032258
27,0.819327731092437,0.8252032520325203
28,0.7983539094650206,0.8122448979591836
29,0.8305785123966942,0.7611336032388664
30,0.7975708502024291,0.8204081632653061
31,0.7831325301204819,0.792
32,0.8445378151260504,0.8313253012048193
33,0.810126582278481,0.8319327731092437
34,0.7875,0.7644628099173554
35,0.8285714285714286,0.8481012658227848
36,0.8458333333333333,0.8253968253968254
37,0.7918367346938775,0.8200836820083682
38,0.812,0.8375
39,0.7933884297520661,0.8083333333333333
40,0.7875,0.746938775510204
41,0.7701612903225806,0.757085020242915
42,0.7926829268292683,0.7863247863247863
43,0.7670682730923695,0.7818930041152263
44,0.7941176470588235,0.8177966101694916
45,0.7325102880658436,0.7295081967213115
46,0.8477366255144033,0.7833333333333333
47,0.7235772357723578,0.7773109243697479
48,0.7925311203319502,0.7903225806451613
49,0.8375,0.8298755186721992
